step,epoch,val_step_loss,val_step_acc,train_step_loss,train_step_acc,test_step_acc,test_step_loss
8,0,0.685616135597229,0.5369318127632141,,,,
17,1,0.6801636815071106,0.5710227489471436,,,,
26,2,0.6722114682197571,0.5710227489471436,,,,
35,3,0.6644683480262756,0.5710227489471436,,,,
44,4,0.636921763420105,0.6022727489471436,,,,
49,5,,,0.6243522763252258,0.75,,
53,5,0.6461183428764343,0.6590909361839294,,,,
62,6,0.5686059594154358,0.7329545617103577,,,,
71,7,0.5822208523750305,0.7613636255264282,,,,
80,8,0.5180310606956482,0.7840909361839294,,,,
89,9,0.5126527547836304,0.8153409361839294,,,,
90,10,,,,,0.8333333134651184,0.44162023067474365
